All tissues (75 exp) ,,
Title,N,GSE ID
Alternative Isoform Regulation in Human Tissue Transcriptomes,16,GSE12946
Comparative transcriptomic analysis of prostate cancer and matched normal tissue using RNA-seq,30,GSE22260
RNA-seq analysis generated a comprehensive landscape of transcriptomes and revealed complex patterns of transcripts in Chinese HBV-related hepatocellular carcinoma,20,GSE25599
Digital gene expression and global mapping of polyadenylation sites with PolyA-Seq,11,GSE30198
Personal Omics Profiling Reveals Dynamic Molecular Phenotypes and Actionable Medical Risks,20,GSE32874
Human-specific patterns of gene expression in the brain (RNA-Seq),13,GSE33587
Human transcriptome pattern of primary cutaneous lesions from patients with localized cutaneous leishmaniasis and mucosal leishmaniasis,10,GSE33601
Molecular Effects of Doxycycline Treatment on Pterygium as Revealed by Massive Transcriptome Sequencing,40,GSE34736
The human pancreatic islet transcriptome: impact of pro-inflammatory cytokines,10,GSE35296
mRNA expression profiling in patients with Tetralogy of Fallot and healthy unaffected individuals,29,GSE36761
Molecular Rejuvenation of Gene Expression Pattern of Photoaged and Intrinsically Aged Human Skin by Broadband Light Treatment,15,GSE39170
The transcriptional landscape and mutational profile of lung adenocarcinoma,164,GSE40419
The evolution of lncRNA repertoires and expression patterns in tetrapods,12,GSE43520
A Stable Transcription Factor Complex Nucleated by Dimeric AML1-ETO Controls Leukaemogenesis,11,GSE43834
An Integrated Model of the Transcriptome Landscape of HER2-Positive Breast Cancer,32,GSE45419
"RNA-sequencing of the human milk fat layer during colostrum, transitional, and mature stages of lactation",16,GSE45669
Deep RNA Sequencing Reveals Dynamic Regulation of Myocardial Noncoding RNA in Failing Human Heart and Remodeling with Mechanical Circulatory Support,40,GSE46224
RNA-sequencing analysis of 5' capped RNAs identifies novel differentially expressed genes in sessile serrated colon polyps (SSPs),15,GSE46513
"High-throughput sequencing of matched colorectal normal, tumor and metastasis tissues and proof-of principal bioinformatics modeling of therapeutic consequences of miRNA applications",12,GSE46622
Identification of differentially expressed transcripts and pathways one week and six months following implant of left ventricular devices,25,GSE46665
A shared transcriptional program in early breast neoplasias despite genetic and clinical distinctions,72,GSE47462
Environmental factors transmitted by aryl hydrocarbon receptor influence severity of psoriatic skin inflammation [RNA-Seq],84,GSE47944
RNA-seq identifies novel transcript elements and transcript processing in the normal and failing hearts,30,GSE48166
Novel kinase fusion oncogenes in post-Chernobyl radiation-induced pediatric thyroid cancers,11,GSE48850
Whole transcriptome sequencing in 274 glioma patients reveals gene fusion profiling and novel candidate fusion genes,274,GSE48865
Large-scale multi-species survey of metabolome and lipidome,30,GSE49379
Global transcriptomic analysis of human pancreatic islets reveals novel genes influencing glucose metabolism [RNA-seq],89,GSE50244
RNA-seq transcriptomes of term not in labour and term in labour human myometrial tissue,10,GSE50599
Gene expression profiling study by RNA-seq in colorectal cancer,54,GSE50760
Next generation sequencing of advanced non-castrate prostate cancer treated with docetaxel chemotherapy,12,GSE51005
"RNA-seq from primary skin fibroblasts, derived of matched pairs of middle and late donor age",20,GSE51518
mRNA-sequencing of breast cancer subtypes and normal tissue,20,GSE52194
Identification of mRNAs and lincRNAs associated with lung cancer progression using next-generation RNA sequencing from laser micro-dissected archival FFPE tissue specimens,18,GSE52248
Transcriptome analysis reveals differential splicing events in IPF lung tissue,15,GSE52463
Human Airway Smooth Muscle Transcriptome Changes in Response to Asthma Medications,16,GSE52778
miR-155 plays a crucial role in ALS and is an immune therapeutic target [RNA-Seq],20,GSE52946
Comparative RNA-sequencing analysis of myocardial and circulating small RNAs in human heart failure and their utility as biomarkers [small RNA-seq],185,GSE53080
"RNA-sequencing of the brain transcriptome implicates dysregulation of neuroplasticity, circadian rhythms, and GTPase binding in bipolar disorder",22,GSE53239
eRNA: A graphic user interface-based tool for RNA sequencing data analysis [mRNA-Seq],10,GSE53450
RNA-seq analysis of differentiating human erythroblasts,15,GSE53635
RNA-sequencing identifies dysregulation of the human pancreatic islet transcriptome by the saturated fatty acid palmitate,10,GSE53949
Transcriptome analysis of psoriasis in a large case-control sample:  RNA-seq provides insights into disease mechanisms,174,GSE54456
Domains of genomewide gene expression dysregulation in Down syndrome [RNA-seq],28,GSE55504
Promoter methylome and integrative transcriptome profiling identify key epigenetics-regulated genes in human HCCs [expression],16,GSE55758
Next Generation Sequencing identifying the dosage compensation state in human endometrial carcinoma and adjacent tissues,18,GSE56087
The age and genomic integrity of neurons after cortical stroke in humans,13,GSE56267
DUX4-induced gene expression is the major molecular signature in FSHD skeletal muscle,38,GSE56787
Characterizing gene expression in lung tissue of COPD subjects using RNA-seq,189,GSE57148
An activating NLRC4 inflammasome mutation causes autoinflammation with recurrent macrophage activation syndrome,26,GSE57253
The chromatin modifier CHD8 targets autism risk genes during human neurodevelopment,14,GSE57369
Core Ileal Transcriptome in Pediatric Crohn Disease,359,GSE57945
Transcriptome profiling in human T-ALL,31,GSE57982
Breast Cancer RNA-seq,168,GSE58135
"Integrative DNA, RNA and protein evidence connects TREML4 to coronary artery calcification",16,GSE58150
"The human skeletal muscle transcriptome sex differences, alternative splicing and tissue homogeneity assessed with RNA sequencing",23,GSE58387
Fatal Asthma vs. Control Human Airway Smooth Muscle Transcriptome Changes in Response to Vitamin D or Albuterol,53,GSE58434
Molecular Effects of Doxycycline Treatment on Pterygium from Caucasian Patients as Revealed by Massive Transcriptome Sequencing,12,GSE58441
The human skeletal muscle transcriptome assessed with RNA sequencing,24,GSE58608
Analysis and expansion of the eosinophilic esophagitis transcriptome by RNA sequencing,16,GSE58640
"Comparative Analysis of Transcriptional Responses in Monocytes from Human Neonates, Adults, and Older Adults",54,GSE60216
Dynamics of the human skeletal muscle transcriptome in response to exercise training - part 1,33,GSE60590
Dynamics of the human skeletal muscle transcriptome in response to exercise training,24,GSE60591
Phenotypic responses of differentiated asthmatic human airway epithelial cultures to rhinovirus,24,GSE61141
Specific molecular signatures underlie response to decitabine in CMML [RNA-seq],14,GSE61162
RNA-Seq of the corpus callosum from 12 individuals,12,GSE62098
An integrated transcriptome and expressed variant analysis of sepsis survival and death,129,GSE63042
An Endotoxin Tolerance Signature Predicts Sepsis and Organ Dysfunction at Initial Clinical Presentation,83,GSE63311
Massive parallel sequencing uncovers actionable FGFR2-PPHLN1 fusion and ARAF mutations in intrahepatic cholangiocarcinoma,14,GSE63420
Expression and Prognostic impact of LncRNAs in Acute Myeloid Leukemia,71,GSE63646
Analysis of long non-coding RNAs highlights tissue-specific expression patterns and epigenetic profiles in normal and psoriatic skin,42,GSE63979
Gene Networks Specific for Innate Immunity Define Post-traumatic Stress Disorder [RNA-Seq],188,GSE64813
Human-specific gene ARHGAP11B promotes basal progenitor amplification and neocortex expansion,10,GSE65000
Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type and cardiac-specific Bmi1 deletion [human],10,GSE65446
Evaluating intra- and inter-individual variation in the human placental transcriptome,80,GSE66622
Mycobacterial infection induces a specific human innate immune response,89,GSE67427
